index,var_id,title,sub_id,sub_name,subcsa_id,subcsa_name,notes,vertical,unit,graph_id,graph_name,domain,turunan_variabel,turunan_variabel_id,vertical_variabel
1,1,Inflasi,3,Inflasi,0,NaN,NaN,31.0,Tidak Ada Satuan,1.0,bar,1471,Tidak Ada,0,Januari-Februari-Maret-April-Mei-Juni-Juli-Agustus-September-Oktober-November-Desember-Jumlah-Pekanbaru 
102,1,Inflasi,3,Inflasi,0,NaN,Sumber: BPS Kota Dumai Melalui Survei Harga Konsumen,6.0,Persen,3.0,line,1473,Tidak Ada,0,Januari-Februari-Maret-April-Mei-Juni-Juli-Agustus-September-Oktober-November-Desember-Dumai
209,1,Inflasi,3,Inflasi,0,NaN,NaN,3.0,Tidak Ada Satuan,3.0,line,1401,Tidak Ada,0,RIAU
2,2,Indeks Harga Konsumen,3,Inflasi,0,NaN,NaN,1.0,Tidak Ada Satuan,3.0,line,1471,Tidak Ada,0,Riau-Tembilahan-Pekanbaru-Dumai
103,2,Tingkat Inflasi Harga Bulanan,3,Inflasi,0,NaN,Sumber: BPS Kota Dumai Melalui Survei Harga Konsumen,1.0,Persen,3.0,line,1473,Tidak Ada,0,Dumai
680,8,PDRB Kabupaten Pelalawan Atas Dasar Harga Berlaku Menurut Lapangan Usaha,52,Produk Domestik Regional Bruto (Lapangan usaha),0,NaN,Tahun 2019 merupakan angka sementara dan Tahun 2020 merupakan angka sangat sementara,11.0,Milyar Rupiah,1.0,bar,1404,Tidak Ada,0,"Pertanian, kehutanan, dan Perikanan-Pertambangan dan Penggalian-Industri Pengolahan-Pengadaan Listrik dan Gas-Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang-Konstruksi-Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor-Transportasi dan Pergudangan-Penyediaan Akomodasi dan Makan Minum-Informasi dan Komunikasi-Jasa Keuangan dan Asuransi-Real Estate-Jasa Perusahaan-Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib-Jasa Pendidikan-Jasa Kesehatan dan Kegiatan Sosial-Jasa Lainnya-PDRB"
220,9,Laju Pertumbuhan PDB Menurut Lapangan Usaha,11,Produk Domestik Bruto,0,NaN,NaN,4.0,Persen,3.0,line,1401,Laju Pertumbuhan Kumulatif-Laju Pertumbuhan Q to Q-Laju Pertumbuhan Y on Y,2,"&lt;b&gt;1.PERTANIAN, PETERNAKAN, KEHUTANAN, PERIKANAN&lt;/b&gt;-a. Tanaman Bahan Makanan-b. Tanaman Perkebunan -c. Peternakan dan Hasil-hasilnya-d. Kehutanan-e. Perikanan-&lt;b&gt;2.PERTAMBANGAN DAN PENGGALIAN&lt;/b&gt;-a. Minyak dan Gas Bumi-b. Pertambangan Bukan Migas -c. Penggalian-&lt;b&gt;3.INDUSTRI PENGOLAHAN&lt;/b&gt;-&lt;b&gt;a. Industri Migas&lt;/b&gt;-1) Pengilangan Minyak Bumi-2) Gas Alam Cair-&lt;b&gt;b. Industri bukan Migas&lt;/b&gt;-1) Makanan, Minuman dan Tembakau-2) Tekstil, Barang Kulit &amp; Alas Kaki  -3) Barang Kayu &amp; Hasil Hutan Lainnya  -4) Kertas dan Barang Cetakan -5) Pupuk, Kimia &amp; Barang dari Karet-6) Semen &amp; Barang Galian bukan Logam  -7) Logam Dasar Besi &amp; Baja-8) Alat Angkutan, Mesin &amp; Peralatannya-9) Barang lainnya  -&lt;b&gt;4.LISTRIK, GAS DAN AIR BERSIH&lt;/b&gt;  -a. Listrik-b. Gas Kota  -c. Air Bersih-&lt;b&gt;5.KONSTRUKSI&lt;/b&gt;-&lt;b&gt;6.PERDAGANGAN, HOTEL DAN RESTORAN&lt;/b&gt; -a. Perdagangan Besar dan Eceran -b. Hotel  -c. Restoran  -&lt;b&gt;7.PENGANGKUTAN DAN KOMUNIKASI&lt;/b&gt;  "
899,29,PDRB ADHB menurut Lapangan Usaha,52,Produk Domestik Regional Bruto,0,NaN,"Angka tahun terakhir merupakan angka sangat sementara, sedangkan angka tahun kedua sebelum terakhir merupakan angka sementara.",5.0,Juta Rupiah,1.0,bar,1407,Tidak Ada,0,"A. Pertanian, Kehutanan, dan Perikanan-B. Pertambangan dan Penggalian -C. Industri Pengolahan-D. Pengadaan Listrik dan Gas-E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang-F. Kontruksi-G. Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor-H. Transportasi dan Pergudangan -I. Penyediaan Akomodasi dan Makan Minum-J. Informasi dan Komunikasi-K. Jasa Keuangan dan Asuransi-L. Real Estate-M,N. Jasa Perusahaan-O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib-P. Jasa Pendidikan-Q. Jasa Kesehatan dan Kegiatan Sosial-R,S,T,U. Jasa lainnya-Produk Domestik Regional Bruto"
39,29,Angka Harapan Hidup,26,Indeks Pembangunan Manusia,0,NaN,Sumber: BPS Kota Pekanbaru,3.0,Tahun,3.0,line,1471,Tidak Ada,0,Pekanbaru 
819,29,PDRB Kabupaten Siak Atas Dasar Harga Berlaku Menurut Lapangan Usaha,154,Produk Domestik Regional Bruto (Lapangan Usaha),0,NaN,"data 2021 Angka Sementara, data 2022 angka Sangat Sementara",5.0,Juta Rupiah,1.0,bar,1405,Tidak Ada,0,"A  Pertanian, Kehutanan, dan Perikanan-B  Pertambangan dan Penggalian-C  Industri Pengolahan-D  Pengadaan Listrik dan Gas-E  Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang-F  Konstruksi-G  Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Moto-H  Transportasi dan Pergudangan-I  Penyediaan Akomodasi dan Makan Minum-J   Informasi dan Komunikasi-K  Jasa keuangan dan Asuransi-L  Real Estat-M,N  Jasa Perusahaan-O  Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib-P  Jasa Pendidikan-Q  Jasa Kesehatan dan Kegiatan Sosial-R,S,T,U  Jasa lainnya-Produk Domestik Regional Bruto-Produk Domestik Regional Bruto Tanpa Migas"
